Gene,adhakari.rpkm,Adhakari_1,Adhakari_2,Adhakari_3,baker.rpkm,Baker_1,Baker_2,Baker_3,fox.rpkm,Fox_1,Fox_2,Fox_3,Fox_4,martin.rpkm,bendjilali.rpkm,risso.rpkm,Risso_1,Risso_2,Risso_3,Risso_4,Risso_5,Risso_6,average.rpkm,average.rpkm.rank,chong.protein,huh.protein,newman.protein,Lawless.protein,cell.cycle.phase,Essential
YCL020W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YCL022C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,32.9837,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G1,viable
YCL066W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.209832,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G2/M,NA
YCL067C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,28.1298,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YCL068C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2.51567,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YCL069W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.38021,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,viable
YCR039C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,28.1298,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YCR047W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,396.253,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YCR096C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,54.9063,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YCR108C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDL007C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDL159C-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,175.967,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR015C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,4.20743,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,viable
YDR034C-C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR039C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,39.1543,0,0,0,0,0,0,0,0,0,NA,113,639,44.5,NA,NA,NA
YDR098C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR149C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.07067,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,S/G2,viable
YDR210C-C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR210W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR261C-C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR261W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR316W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR316W-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,72.2614,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR354C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1075.25,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR365W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR371C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,521.48,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR464C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,176.257,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR543C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YDR545C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,3.05111,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YEL032C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,310.009,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YEL075C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,8.00239,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G1,NA
YEL075W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,4.39789,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YEL076C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2.8414,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G1,NA
YEL076C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.737141,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G1,NA
YEL077W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,11.5729,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YER090C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YER137C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YER138C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,114.571,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YER159C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YER160C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,54.5502,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YER190C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.62793,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YER190C-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,25.4241,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YFL002W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,33.2552,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YFL002W-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YFL015W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YFL063W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.287515,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YFL068W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,71.1061,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGL014C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,334.052,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGL260W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.40262,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,viable
YGR027W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR038C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR068W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR109W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,11.4896,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR115C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,inviable
YGR161C-C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR161W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR161W-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,33.2527,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR226C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,9.1029,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,viable
YGR270C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,76.3958,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR296C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,3.15284,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR296C-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,18.1135,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YGR296W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,14.3691,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G1,NA
YHL009W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHL048C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHL049C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,7.4356,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G1,NA
YHR052W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,174,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR053C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,5156.99,0,0,0,0,0,0,0,0,0,NA,104.6666667,NA,NA,NA,NA,NA
YHR054W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,174,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR055C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,5156.99,0,0,0,0,0,0,0,0,0,NA,104.3333333,NA,NA,NA,NA,NA
YHR073C-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR180C-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR212C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,5.44315,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR212W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,8.62248,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR213W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2.70243,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR214C-C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR214C-D,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.18138,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR217C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.08023,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR218W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,28.449,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YHR219C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,4.19137,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YIL021C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,292.629,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YIL082W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,17.8092,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YIL105W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,371.057,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YIL171W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,3.12644,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YIL172C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2.35312,0,0,0,0,0,0,0,0,0,NA,NA,166,NA,NA,NA,NA
YIL176C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.03863,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YIL177W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,35.2203,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YIR040C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.331647,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJL197C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,36.0397,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJL220W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,3.12644,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJL221C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2.35312,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJL222W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.49944,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJL222W-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,8.89036,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJL223C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.03863,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJL225W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,18.5078,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJR026W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,viable
YJR028W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YJR162C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.23393,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YKL100W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YKR032W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,viable
YKR033C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,viable
YLL019W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLL064C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,21.2182,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLL065W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLL066W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.742667,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLL066W-B,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLL067W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2.64424,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR154C-H,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,86.547,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR154W-E,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,560.881,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR154W-F,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1779.24,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR155C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,120.331,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR156C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,86.547,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR156W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,4.33264,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR157C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,120.331,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR157C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR157C-C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,86.547,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR157W-D,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,12.607,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR158C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,120.331,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR159C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,86.547,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR159W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,4.33264,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR160C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,120.331,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR163W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2500.17,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR227W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR299C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR347W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,717.872,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR399W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,4436.14,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR410W-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR463C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,3.28555,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,M/G1,NA
YLR464W,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.89413,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,G1,NA
YLR465C,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.584556,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,M/G1,NA
YLR466C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.407514,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
YLR467C-A,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.22301,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
